5 Minutes,Lane 1 Flow (Veh/5 Minutes),Lane 1 Occ (%),Lane 2 Flow (Veh/5 Minutes),Lane 2 Occ (%),Lane 3 Flow (Veh/5 Minutes),Lane 3 Occ (%),# Lane Points_x,% Observed_x,Lane 1 Speed (mph),Lane 1 Q (mph),Lane 2 Speed (mph),Lane 2 Q (mph),Lane 3 Speed (mph),Lane 3 Q (mph),# Lane Points_y,% Observed_y,Station_ID,Station_Type,Latitude,Longitude,# Lane Points,% Observed,Lane 4 Flow (Veh/5 Minutes),Lane 4 Occ (%),Lane 4 Speed (mph),Lane 4 Q (mph)
2024-12-25 00:00:00,58,2.7,94.0,4.8,66.0,4.0,3.0,0.0,74.2,74.2,72.0,72.0,64.7,64.7,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 00:05:00,57,2.7,92.0,4.8,65.0,3.9,3.0,0.0,73.9,73.9,71.6,71.6,64.4,64.4,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 00:10:00,55,2.7,90.0,4.7,63.0,3.9,3.0,0.0,73.8,73.8,71.5,71.5,64.4,64.4,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 00:15:00,54,2.6,87.0,4.6,61.0,3.7,3.0,0.0,73.7,73.7,71.4,71.4,64.3,64.3,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 00:20:00,51,2.5,83.0,4.4,59.0,3.6,3.0,0.0,73.4,73.4,71.1,71.1,64.0,64.0,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 00:25:00,49,2.4,79.0,4.2,56.0,3.4,3.0,0.0,73.4,73.4,71.1,71.1,64.0,64.0,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 00:30:00,47,2.3,76.0,4.0,53.0,3.3,3.0,0.0,73.1,73.1,70.8,70.8,63.7,63.7,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 00:35:00,45,2.2,73.0,3.9,51.0,3.2,3.0,0.0,73.0,73.0,70.7,70.7,63.6,63.6,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 00:40:00,44,2.2,71.0,3.9,50.0,3.2,3.0,0.0,73.0,73.0,70.7,70.7,63.6,63.6,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 00:45:00,42,2.1,69.0,3.7,48.0,3.1,3.0,0.0,72.9,72.9,70.6,70.6,63.5,63.5,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 00:50:00,40,2.0,65.0,3.5,45.0,2.9,3.0,0.0,72.7,72.7,70.5,70.5,63.4,63.4,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 00:55:00,38,1.9,63.0,3.4,44.0,2.8,3.0,0.0,72.3,72.3,70.1,70.1,63.1,63.1,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 01:00:00,37,1.8,60.0,3.3,42.0,2.7,3.0,0.0,73.0,73.0,70.7,70.7,63.6,63.6,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 01:05:00,36,1.8,59.0,3.2,42.0,2.7,3.0,0.0,73.1,73.1,70.8,70.8,63.7,63.7,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 01:10:00,36,1.8,58.0,3.1,41.0,2.6,3.0,0.0,73.1,73.1,70.8,70.8,63.7,63.7,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 01:15:00,35,1.7,56.0,3.1,39.0,2.5,3.0,0.0,73.1,73.1,70.8,70.8,63.7,63.7,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 01:20:00,33,1.7,54.0,3.0,38.0,2.5,3.0,0.0,73.0,73.0,70.7,70.7,63.6,63.6,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 01:25:00,32,1.6,53.0,2.9,37.0,2.4,3.0,0.0,73.1,73.1,70.8,70.8,63.7,63.7,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 01:30:00,32,1.6,51.0,2.8,36.0,2.3,3.0,0.0,72.9,72.9,70.6,70.6,63.5,63.5,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 01:35:00,31,1.6,50.0,2.8,35.0,2.3,3.0,0.0,72.6,72.6,70.4,70.4,63.3,63.3,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 01:40:00,31,1.6,50.0,2.8,35.0,2.3,3.0,0.0,72.4,72.4,70.2,70.2,63.2,63.2,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 01:45:00,30,1.5,48.0,2.7,34.0,2.2,3.0,0.0,72.5,72.5,70.3,70.3,63.3,63.3,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 01:50:00,29,1.5,47.0,2.7,33.0,2.2,3.0,0.0,72.6,72.6,70.4,70.4,63.3,63.3,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 01:55:00,28,1.5,45.0,2.6,32.0,2.1,3.0,0.0,72.4,72.4,70.2,70.2,63.2,63.2,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 02:00:00,26,1.4,43.0,2.5,30.0,2.0,3.0,0.0,72.5,72.5,70.3,70.3,63.3,63.3,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 02:05:00,27,1.4,43.0,2.5,30.0,2.0,3.0,0.0,72.9,72.9,70.6,70.6,63.5,63.5,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 02:10:00,28,1.4,45.0,2.5,32.0,2.1,3.0,0.0,73.0,73.0,70.7,70.7,63.6,63.6,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 02:15:00,27,1.4,44.0,2.5,31.0,2.1,3.0,0.0,73.1,73.1,70.8,70.8,63.7,63.7,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 02:20:00,27,1.4,44.0,2.5,31.0,2.1,3.0,0.0,73.1,73.1,70.8,70.8,63.7,63.7,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 02:25:00,27,1.4,43.0,2.5,30.0,2.1,3.0,0.0,72.9,72.9,70.6,70.6,63.5,63.5,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 02:30:00,27,1.4,43.0,2.5,30.0,2.0,3.0,0.0,72.7,72.7,70.5,70.5,63.4,63.4,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 02:35:00,26,1.4,42.0,2.4,30.0,2.0,3.0,0.0,72.9,72.9,70.6,70.6,63.5,63.5,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 02:40:00,26,1.4,43.0,2.4,30.0,2.0,3.0,0.0,72.9,72.9,70.6,70.6,63.5,63.5,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 02:45:00,26,1.4,42.0,2.5,29.0,2.0,3.0,0.0,72.6,72.6,70.4,70.4,63.3,63.3,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 02:50:00,25,1.4,41.0,2.4,29.0,2.0,3.0,0.0,72.5,72.5,70.3,70.3,63.3,63.3,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 02:55:00,24,1.3,40.0,2.3,28.0,1.9,3.0,0.0,72.3,72.3,70.1,70.1,63.1,63.1,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 03:00:00,24,1.3,38.0,2.3,27.0,1.9,3.0,0.0,72.3,72.3,70.1,70.1,63.1,63.1,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 03:05:00,24,1.3,39.0,2.3,27.0,1.9,3.0,0.0,72.3,72.3,70.1,70.1,63.1,63.1,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 03:10:00,24,1.3,39.0,2.3,28.0,1.9,3.0,0.0,72.3,72.3,70.1,70.1,63.1,63.1,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 03:15:00,25,1.4,41.0,2.4,29.0,2.0,3.0,0.0,72.1,72.1,69.9,69.9,62.9,62.9,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 03:20:00,26,1.4,42.0,2.5,29.0,2.0,3.0,0.0,72.4,72.4,70.2,70.2,63.2,63.2,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 03:25:00,26,1.4,43.0,2.5,30.0,2.1,3.0,0.0,72.4,72.4,70.2,70.2,63.2,63.2,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 03:30:00,28,1.5,45.0,2.6,32.0,2.1,3.0,0.0,72.6,72.6,70.4,70.4,63.3,63.3,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 03:35:00,29,1.5,47.0,2.7,33.0,2.2,3.0,0.0,72.6,72.6,70.4,70.4,63.3,63.3,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 03:40:00,31,1.6,50.0,2.8,35.0,2.3,3.0,0.0,73.0,73.0,70.7,70.7,63.6,63.6,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 03:45:00,32,1.6,52.0,2.9,37.0,2.4,3.0,0.0,73.1,73.1,70.8,70.8,63.7,63.7,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 03:50:00,31,1.6,50.0,2.9,35.0,2.4,3.0,0.0,73.0,73.0,70.7,70.7,63.6,63.6,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 03:55:00,31,1.6,50.0,2.8,35.0,2.3,3.0,0.0,72.9,72.9,70.6,70.6,63.5,63.5,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 04:00:00,30,1.6,49.0,2.8,35.0,2.3,3.0,0.0,72.5,72.5,70.3,70.3,63.3,63.3,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 04:05:00,33,1.7,53.0,3.1,37.0,2.5,3.0,0.0,72.4,72.4,70.2,70.2,63.2,63.2,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 04:10:00,36,1.9,58.0,3.3,41.0,2.7,3.0,0.0,72.9,72.9,70.6,70.6,63.5,63.5,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 04:15:00,39,2.1,64.0,3.6,45.0,3.0,3.0,0.0,73.2,73.2,70.9,70.9,63.8,63.8,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 04:20:00,44,2.2,71.0,4.0,50.0,3.3,3.0,0.0,73.4,73.4,71.1,71.1,64.0,64.0,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 04:25:00,48,2.4,79.0,4.3,55.0,3.5,3.0,0.0,73.6,73.6,71.3,71.3,64.2,64.2,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 04:30:00,51,2.5,83.0,4.5,58.0,3.7,3.0,0.0,73.8,73.8,71.5,71.5,64.4,64.4,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 04:35:00,55,2.8,90.0,4.9,63.0,4.0,3.0,0.0,74.0,74.0,71.7,71.7,64.5,64.5,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 04:40:00,61,2.9,98.0,5.2,69.0,4.2,3.0,0.0,74.4,74.4,72.2,72.2,64.9,64.9,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 04:45:00,62,3.1,101.0,5.5,71.0,4.5,3.0,0.0,74.5,74.5,72.3,72.3,65.0,65.0,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 04:50:00,64,3.1,104.0,5.5,73.0,4.5,3.0,0.0,74.6,74.6,72.4,72.4,65.1,65.1,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 04:55:00,61,3.1,99.0,5.4,70.0,4.4,3.0,0.0,74.4,74.4,72.2,72.2,64.9,64.9,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 05:00:00,63,3.1,102.0,5.5,72.0,4.5,3.0,0.0,74.1,74.1,71.8,71.8,64.6,64.6,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 05:05:00,67,3.3,110.0,5.9,77.0,4.8,3.0,0.0,74.2,74.2,72.0,72.0,64.7,64.7,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 05:10:00,75,3.7,122.0,6.5,86.0,5.3,3.0,0.0,74.2,74.2,72.0,72.0,64.7,64.7,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 05:15:00,85,4.1,138.0,7.2,97.0,5.9,3.0,0.0,74.4,74.4,72.2,72.2,64.9,64.9,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 05:20:00,93,4.4,151.0,7.8,106.0,6.4,3.0,0.0,74.3,74.3,72.1,72.1,64.8,64.8,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 05:25:00,99,4.7,161.0,8.3,113.0,6.8,3.0,0.0,74.5,74.5,72.3,72.3,65.0,65.0,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 05:30:00,110,5.0,179.0,8.9,126.0,7.3,3.0,0.0,74.5,74.5,72.3,72.3,65.0,65.0,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 05:35:00,118,5.5,192.0,9.7,135.0,7.9,3.0,0.0,74.6,74.6,72.4,72.4,65.1,65.1,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 05:40:00,126,5.8,205.0,10.4,144.0,8.5,3.0,0.0,74.4,74.4,72.2,72.2,64.9,64.9,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 05:45:00,129,6.0,210.0,10.6,148.0,8.7,3.0,0.0,74.5,74.5,72.3,72.3,65.0,65.0,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 05:50:00,128,5.9,208.0,10.4,146.0,8.5,3.0,0.0,74.6,74.6,72.4,72.4,65.1,65.1,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 05:55:00,125,5.8,204.0,10.3,143.0,8.4,3.0,0.0,74.6,74.6,72.4,72.4,65.1,65.1,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 06:00:00,128,6.0,208.0,10.6,146.0,8.7,3.0,0.0,72.3,72.3,70.1,70.1,63.1,63.1,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 06:05:00,133,6.3,216.0,11.1,152.0,9.1,3.0,0.0,71.3,71.3,69.1,69.1,62.1,62.1,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 06:10:00,141,6.7,229.0,11.8,161.0,9.7,3.0,0.0,70.6,70.6,68.5,68.5,61.6,61.6,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 06:15:00,148,7.0,240.0,12.4,169.0,10.2,3.0,0.0,70.1,70.1,68.0,68.0,61.1,61.1,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 06:20:00,152,7.4,247.0,13.1,173.0,10.7,3.0,0.0,69.9,69.9,67.8,67.8,61.0,61.0,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 06:25:00,154,7.5,250.0,13.3,176.0,10.9,3.0,0.0,69.7,69.7,67.6,67.6,60.8,60.8,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 06:30:00,156,7.6,253.0,13.4,178.0,11.0,3.0,0.0,69.5,69.5,67.3,67.3,60.6,60.6,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 06:35:00,158,7.9,257.0,14.0,180.0,11.5,3.0,0.0,69.3,69.3,67.1,67.1,60.4,60.4,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 06:40:00,165,8.2,268.0,14.5,188.0,11.8,3.0,0.0,69.2,69.2,67.0,67.0,60.3,60.3,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 06:45:00,165,8.4,269.0,14.9,189.0,12.2,3.0,0.0,68.8,68.8,66.7,66.7,60.0,60.0,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 06:50:00,165,8.4,268.0,15.0,188.0,12.2,3.0,0.0,68.8,68.8,66.7,66.7,60.0,60.0,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 06:55:00,162,8.3,263.0,14.8,185.0,12.1,3.0,0.0,68.3,68.3,66.2,66.2,59.6,59.6,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 07:00:00,162,8.4,263.0,14.8,185.0,12.2,3.0,0.0,68.3,68.3,66.2,66.2,59.6,59.6,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 07:05:00,165,8.6,267.0,15.3,188.0,12.5,3.0,0.0,68.1,68.1,66.0,66.0,59.4,59.4,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 07:10:00,168,9.1,273.0,16.1,192.0,13.2,3.0,0.0,67.4,67.4,65.3,65.3,58.7,58.7,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 07:15:00,172,9.6,280.0,17.0,197.0,13.9,3.0,0.0,66.7,66.7,64.7,64.7,58.2,58.2,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 07:20:00,173,10.1,280.0,17.9,197.0,14.7,3.0,0.0,65.9,65.9,63.9,63.9,57.5,57.5,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 07:25:00,173,10.4,280.0,18.4,197.0,15.0,3.0,0.0,65.0,65.0,63.0,63.0,56.7,56.7,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 07:30:00,172,10.6,280.0,18.8,196.0,15.4,3.0,0.0,64.2,64.2,62.2,62.2,56.0,56.0,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 07:35:00,173,11.0,281.0,19.5,198.0,16.0,3.0,0.0,63.8,63.8,61.8,61.8,55.6,55.6,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 07:40:00,173,11.2,281.0,19.7,197.0,16.2,3.0,0.0,62.8,62.8,60.9,60.9,54.8,54.8,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 07:45:00,172,11.4,280.0,20.2,196.0,16.5,3.0,0.0,61.6,61.6,59.7,59.7,53.7,53.7,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 07:50:00,170,11.2,276.0,19.9,194.0,16.3,3.0,0.0,61.6,61.6,59.7,59.7,53.7,53.7,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 07:55:00,168,10.9,273.0,19.4,192.0,15.8,3.0,0.0,61.3,61.3,59.5,59.5,53.5,53.5,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 08:00:00,166,10.6,270.0,18.8,190.0,15.4,3.0,0.0,61.9,61.9,60.0,60.0,54.0,54.0,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 08:05:00,167,10.5,271.0,18.6,190.0,15.2,3.0,0.0,62.0,62.0,60.1,60.1,54.0,54.0,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 08:10:00,168,10.4,273.0,18.5,192.0,15.1,3.0,0.0,61.7,61.7,59.8,59.8,53.8,53.8,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 08:15:00,170,10.5,276.0,18.6,194.0,15.2,3.0,0.0,61.8,61.8,59.9,59.9,53.9,53.9,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 08:20:00,170,10.4,277.0,18.4,194.0,15.1,3.0,0.0,61.9,61.9,60.0,60.0,54.0,54.0,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 08:25:00,169,10.3,274.0,18.3,193.0,14.9,3.0,0.0,62.2,62.2,60.3,60.3,54.2,54.2,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 08:30:00,167,10.2,272.0,18.1,191.0,14.8,3.0,0.0,61.7,61.7,59.8,59.8,53.8,53.8,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 08:35:00,168,10.1,273.0,17.8,192.0,14.6,3.0,0.0,61.6,61.6,59.7,59.7,53.7,53.7,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 08:40:00,168,10.1,273.0,17.8,192.0,14.6,3.0,0.0,61.7,61.7,59.8,59.8,53.8,53.8,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 08:45:00,168,10.0,273.0,17.7,192.0,14.5,3.0,0.0,61.6,61.6,59.7,59.7,53.7,53.7,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 08:50:00,165,9.7,267.0,17.1,188.0,14.0,3.0,0.0,62.1,62.1,60.2,60.2,54.1,54.1,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 08:55:00,161,9.3,262.0,16.4,184.0,13.4,3.0,0.0,62.4,62.4,60.5,60.5,54.4,54.4,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 09:00:00,156,8.8,254.0,15.6,178.0,12.7,3.0,0.0,63.0,63.0,61.1,61.1,55.0,55.0,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 09:05:00,156,8.5,253.0,15.0,178.0,12.3,3.0,0.0,63.6,63.6,61.6,61.6,55.4,55.4,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 09:10:00,157,8.6,255.0,15.2,179.0,12.4,3.0,0.0,63.6,63.6,61.6,61.6,55.4,55.4,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 09:15:00,160,8.7,259.0,15.4,182.0,12.6,3.0,0.0,63.6,63.6,61.6,61.6,55.4,55.4,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 09:20:00,161,8.7,262.0,15.4,184.0,12.6,3.0,0.0,63.8,63.8,61.8,61.8,55.6,55.6,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 09:25:00,161,8.7,261.0,15.3,183.0,12.6,3.0,0.0,63.7,63.7,61.7,61.7,55.5,55.5,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 09:30:00,159,8.6,258.0,15.2,182.0,12.4,3.0,0.0,63.5,63.5,61.5,61.5,55.3,55.3,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 09:35:00,160,8.5,260.0,15.1,183.0,12.3,3.0,0.0,63.7,63.7,61.7,61.7,55.5,55.5,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 09:40:00,160,8.6,261.0,15.2,183.0,12.4,3.0,0.0,63.7,63.7,61.7,61.7,55.5,55.5,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 09:45:00,160,8.7,261.0,15.4,183.0,12.6,3.0,0.0,63.7,63.7,61.7,61.7,55.5,55.5,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 09:50:00,158,8.5,258.0,15.0,181.0,12.3,3.0,0.0,63.7,63.7,61.7,61.7,55.5,55.5,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 09:55:00,157,8.3,255.0,14.8,179.0,12.1,3.0,0.0,63.5,63.5,61.5,61.5,55.3,55.3,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
2024-12-25 10:00:00,156,8.3,253.0,14.7,178.0,12.0,3.0,0.0,63.7,63.7,61.7,61.7,55.5,55.5,3.0,0.0,715898,Mainline,33.880367,-118.021489,,,,,,
